,Model,Sigma_y/E0,k/E0,E1/E0,cohesive_K,DI,Strain000,Strain001,Strain002,Strain003,Strain004,Strain005,Strain006,Strain007,Strain008,Strain009,Strain010,Strain011,Strain012,Strain013,Strain014,Strain015,Strain016,Strain017,Strain018,Strain019,Strain020,Strain021,Strain022,Strain023,Strain024,Strain025,Strain026,Strain027,Strain028,Strain029,Strain030,Strain031,Strain032,Strain033,Strain034,Strain035,Strain036,Strain037,Strain038,Strain039,Strain040,Strain041,Strain042,Strain043,Strain044,Strain045,Strain046,Strain047,Strain048,Strain049,Strain050,Strain051,Strain052,Strain053,Strain054,Strain055,Strain056,Strain057,Strain058,Strain059,Strain060,Strain061,Strain062,Strain063,Strain064,Strain065,Strain066,Strain067,Strain068,Strain069,Strain070,Strain071,Strain072,Strain073,Strain074,Strain075,Strain076,Strain077,Strain078,Strain079,Strain080,Strain081,Strain082,Strain083,Strain084,Strain085,Strain086,Strain087,Strain088,Strain089,Strain090,Strain091,Strain092,Strain093,Strain094,Strain095,Strain096,Strain097,Strain098,Strain099,Strain100
0,A000,0.0169,0.0908,64.11,2128489,56.32,-0.0,0.0010096659528907,0.0020184496788008,0.0030263383297644,0.0040333190578158,0.0050394218415417,0.0060444967880085,0.0070480942184154,0.0080482655246252,0.0090422698072805,0.0100286081370449,0.0110064453961456,0.0119742826552462,0.0129310706638115,0.013874175588865,0.0148012633832976,0.015706766595289,0.0165917344753747,0.017455374732334,0.0182911777301927,0.0190952034261242,0.019857323340471,0.0205686509635974,0.0212251820128479,0.02183426124197,0.0224036402569593,0.0229357601713062,0.023430835117773,0.0238886509635974,0.0243079229122055,0.024692505353319,0.0250477516059957,0.0253809421841541,0.0256987152034261,0.0260040685224839,0.0262978586723768,0.0265815845824411,0.0268558886509635,0.0271214132762312,0.0273781584582441,0.0276271948608137,0.0278695931477516,0.0281064239828693,0.0283383297644539,0.0285659528907922,0.0287899357601713,0.029010278372591,0.029227408993576,0.0294417558886509,0.0296535331905781,0.0298629550321199,0.0300700214132762,0.0302749464668094,0.0304779443254817,0.0306790149892933,0.0308783725910064,0.0310760171306209,0.0312721627408993,0.0314665952890792,0.0316595289079229,0.0318509635974304,0.0320408993576017,0.0322295503211991,0.0324167023554603,0.0326023554603854,0.0327865096359743,0.0329693790149892,0.0331509635974304,0.033330835117773,0.0335094218415417,0.0336862955032119,0.0338614561027837,0.0340346895074946,0.0342059957173447,0.0343743040685224,0.0345385438972162,0.0346946466809421,0.03473704496788,0.0348683083511777,0.0350107066381156,0.0351578158458244,0.0353074946466809,0.0354586723768736,0.0356107066381156,0.0357638115631691,0.0359175588865096,0.0360717344753747,0.0362261241970021,0.0363809421841541,0.0365357601713062,0.0366905781584582,0.0368453961456102,0.037,0.0371546038543897,0.0373087794432548,0.0374625267665952,0.0376158458244111,0.0377680942184154,0.0379190578158458,0.0380698072805139,0.038219914346895
1,A002,0.0108,0.0878,114.88,8719778,122.34,-0.0,0.001032749464668,0.0020645952890792,0.0030955246252676,0.0041252248394004,0.0051506638115631,0.0061652676659528,0.0071656745182012,0.0081472376873661,0.0091046466809421,0.0100282226980728,0.0109173019271948,0.0117650535331905,0.0125573661670235,0.0132721413276231,0.0139043254817987,0.0144713490364025,0.0149798715203426,0.0154293147751606,0.015821670235546,0.0161709850107066,0.0164938758029978,0.0167981370449678,0.0170865310492505,0.0173611991434689,0.0176232119914346,0.0178741970021413,0.0181163383297644,0.0183515631691648,0.0185809635974304,0.0188054389721627,0.0190255888650963,0.0192419700214132,0.0194549464668094,0.0196648822269807,0.0198720985010706,0.0200768094218415,0.0202792077087794,0.0204795289079229,0.0206778586723768,0.0208743897216274,0.0210691648822269,0.0212623554603854,0.0214539614561027,0.0216443254817987,0.0218334047109207,0.0220209850107066,0.0222072805139186,0.022392505353319,0.0225764453961456,0.0227593147751606,0.0229408993576017,0.0231214132762312,0.0233008565310492,0.0234792291220556,0.0236563169164882,0.0238323340471092,0.0240072805139186,0.0241809421841541,0.0243531049250535,0.0245237687366167,0.0246929336188436,0.0248597430406852,0.025023340471092,0.0251809421841541,0.0252511777301927,0.0253832976445396,0.0255263383297644,0.0256736616702355,0.0258231263383297,0.0259738758029978,0.0261256959314775,0.0262781584582441,0.0264312633832976,0.0265847965738758,0.0267385438972162,0.026892505353319,0.0270464668094218,0.0272006423982869,0.0273546038543897,0.0275085653104925,0.0276625267665952,0.0278162740899357,0.0279700214132762,0.0281235546038543,0.0282768736616702,0.0284297644539614,0.0285824411134903,0.0287346895074946,0.0288860813704496,0.0290372591006424,0.0291880085653104,0.0293374732334047,0.0294867237687366,0.0296355460385438,0.0297839400428265,0.0299321199143468,0.0300800856531049,0.030227408993576,0.0303747323340471,0.0305216274089935
2,A003,0.0126,0.0293,43.88,5494248,159.18,-0.0,0.00099904496788,0.0019972077087794,0.0029944753747323,0.0039908565310492,0.0049858886509635,0.0059778586723768,0.0069618415417558,0.0079347109207708,0.0088943897216274,0.0098385867237687,0.0107631263383297,0.0116594218415417,0.0125251820128479,0.013357408993576,0.0141443683083511,0.0148698929336188,0.0155182655246252,0.0160933618843683,0.0166117130620985,0.0170759743040685,0.0174828907922912,0.0178299357601713,0.0181267880085653,0.0183891220556745,0.0186296145610278,0.0188527623126338,0.0190605353319057,0.0192547109207708,0.0194363597430406,0.0196063383297644,0.0197658886509635,0.0199171092077087,0.0200615631691648,0.0202001070663811,0.0203335760171306,0.0204627194860813,0.0205879229122055,0.0207096573875803,0.020828244111349,0.0209439186295503,0.0210568308351177,0.0211671092077087,0.0212748822269807,0.0213802141327623,0.0214830835117773,0.0215835117773019,0.0216815845824411,0.0217768736616702,0.0218691648822269,0.0219580299785867,0.0220415417558886,0.0221139186295503,0.0218644539614561,0.0219511777301927,0.0220256959314775,0.0220980728051391,0.0221698072805139,0.022241113490364,0.0223119914346895,0.0223824411134903,0.0224526766595289,0.0225222698072805,0.0225916488222698,0.0226601713062098,0.0227282655246252,0.0227957173447537,0.0228629550321199,0.0229295503211991,0.0229957173447537,0.0230612419700214,0.0231263383297644,0.0231910064239828,0.0232550321199143,0.0233186295503212,0.0233820128479657,0.0234449678800856,0.0235077087794432,0.0235702355460385,0.0236321199143468,0.0236937901498929,0.0237550321199143,0.0238158458244111,0.0238764453961456,0.0239364025695931,0.0239961456102783,0.0240554603854389,0.0241141327623126,0.0241725910064239,0.0242306209850107,0.0242880085653104,0.0243451820128479,0.0244017130620985,0.0244580299785867,0.024513704496788,0.0245689507494646,0.0246237687366167,0.0246781584582441,0.0247321199143468,0.0247854389721627,0.0248383297644539
3,A004,0.0236,0.0407,30.34,8136985,78.48,-0.0,0.0009800171306209,0.0019591670235546,0.0029374518201284,0.0039148394004282,0.0048913704496788,0.0058670235546038,0.0068417987152034,0.0078156316916488,0.0087882226980728,0.0097595289079229,0.01072852248394,0.0116938543897216,0.0126544325481798,0.0136093361884368,0.0145576659528907,0.0154991648822269,0.0164339400428265,0.0173614132762312,0.0182797644539614,0.019188800856531,0.020086852248394,0.0209703426124197,0.0218387580299785,0.0226914346895074,0.0235291220556745,0.0243492505353319,0.0251486081370449,0.0259241970021413,0.0266708779443254,0.0273826552462526,0.0280554603854389,0.0286867237687366,0.0292781584582441,0.0298359743040685,0.0303642398286937,0.0308638115631691,0.0313346895074946,0.0317766595289079,0.0321880085653105,0.0325674518201284,0.0329158458244111,0.0332368308351177,0.0335331905781584,0.033809635974304,0.0340713062098501,0.0343209850107066,0.0345605995717344,0.0347907922912205,0.0350122055674518,0.0352256959314775,0.0354316916488222,0.0356304068522483,0.0358222698072805,0.0360074946466809,0.0361862955032119,0.0363591006423982,0.0365265524625267,0.036689079229122,0.0368473233404711,0.0370017130620985,0.0371524625267665,0.0372997858672376,0.0374436830835117,0.0375847965738758,0.0377226980728051,0.0378573875802997,0.0379892933618843,0.0381182012847965,0.038243897216274,0.0383663811563169,0.0384847965738758,0.0385982869379015,0.038703426124197,0.0387781584582441,0.0386109207708779,0.0387066381156316,0.0387976445396145,0.0388875802997858,0.0389783725910064,0.0390706638115631,0.0391642398286937,0.0392580299785867,0.0393516059957173,0.0394449678800856,0.0395379014989293,0.0396297644539614,0.0397207708779443,0.0398113490364025,0.0399012847965738,0.0399905781584582,0.0400792291220556,0.0401676659528907,0.0402554603854389,0.0403428265524625,0.0404297644539614,0.0405160599571734,0.0406019271948608,0.0406873661670235,0.0407723768736616,0.0408569593147751
4,A005,0.007,0.0102,9.17,6381909,247.63,-0.0,0.0008740578158458,0.0017473426124197,0.002619635974304,0.0034889293361884,0.0043491862955032,0.0051948608137044,0.0060224411134903,0.0068235117773019,0.0075815417558886,0.0082564668094218,0.0088063597430406,0.0092483725910064,0.0095751605995717,0.0098172162740899,0.010018800856531,0.0101917130620985,0.0103400856531049,0.0104705139186295,0.0105888650963597,0.0106976231263383,0.01079852248394,0.0108927408993576,0.0109810492505353,0.0110641113490364,0.0111423768736616,0.0112163811563169,0.0112865096359743,0.0113531691648822,0.011416852248394,0.0114779443254817,0.0115367237687366,0.0115934475374732,0.011648244111349,0.0117011349036402,0.0117520770877944,0.0118009635974304,0.0118474732334047,0.0118906852248394,0.0119241113490364,0.0117500428265524,0.0117888436830835,0.0118208993576017,0.0118513704496788,0.0118812205567451,0.0119105995717344,0.0119395503211991,0.0119680513918629,0.0119961241970021,0.0120237687366167,0.0120509635974304,0.012077687366167,0.0121039400428265,0.0121297430406852,0.0121551391862955,0.0121800856531049,0.0122046038543897,0.0122288222698072,0.0122527194860813,0.0122762526766595,0.0122994860813704,0.0123225481798715,0.0123453961456102,0.0123680728051391,0.0123905781584582,0.0124129122055674,0.0124350749464668,0.0124570235546038,0.012478800856531,0.0125004282655246,0.0125217773019271,0.0125429336188436,0.012563897216274,0.0125846038543897,0.0126050321199143,0.0126251820128479,0.012645096359743,0.012664817987152,0.0126843683083511,0.0127037259100642,0.0127228479657387,0.0127417773019271,0.0127605781584582,0.0127792291220556,0.0127977087794432,0.012815931477516,0.012833982869379,0.0128518201284796,0.0128695289079229,0.0128871092077087,0.0129045610278372,0.0129218843683083,0.0129389935760171,0.0129559957173447,0.0129728479657387,0.0129895717344753,0.0130061670235546,0.0130226766595289,0.0130391220556745,0.0130554389721627,0.0130715417558886
5,A006,0.0211,0.0324,99.1,3741786,115.29,-0.0,0.0010261092077087,0.0020513169164882,0.0030756102783725,0.0040989935760171,0.0051214775160599,0.006143062098501,0.0071636830835117,0.0081828265524625,0.0092000428265524,0.0102126124197002,0.0112189293361884,0.0122181156316916,0.0132094646680942,0.0141920770877944,0.0151641970021413,0.0161248608137044,0.0170723768736616,0.0180051177730192,0.0189181156316916,0.0198105995717344,0.0206842184154175,0.0215381156316916,0.0223672376873661,0.0231700214132762,0.023941113490364,0.0246743040685224,0.0253640256959314,0.026006209850107,0.02660278372591,0.0271618843683083,0.0276871520342612,0.0281805139186295,0.0286421841541755,0.0290715203426124,0.0294661670235546,0.0298248394004282,0.0301503211991434,0.0304464668094218,0.0307188436830835,0.0309736616702355,0.0312149892933618,0.0314449678800856,0.0316648822269807,0.0318751605995717,0.0320770877944325,0.0322708779443254,0.0324573875802997,0.0326364025695931,0.0328083511777301,0.0329740899357601,0.0331334047109207,0.0332871520342612,0.0334359743040685,0.0335802997858672,0.033720556745182,0.0338567451820128,0.033989079229122,0.0341182012847965,0.0342436830835117,0.0343659528907922,0.0344847965738758,0.0346002141327623,0.0347119914346895,0.0348194860813704,0.0349218415417558,0.0350160599571734,0.0350884368308351,0.034719914346895,0.0348254817987152,0.0349156316916488,0.0350025695931477,0.0350877944325481,0.035171948608137,0.0352552462526766,0.03533704496788,0.0354186295503212,0.035499357601713,0.0355792291220556,0.0356578158458244,0.0357359743040685,0.0358134903640256,0.0358903640256959,0.0359665952890792,0.0360421841541755,0.0361173447537473,0.0361916488222698,0.0362657387580299,0.0363391862955032,0.0364122055674518,0.0364847965738758,0.0365569593147751,0.0366284796573875,0.0366995717344753,0.0367700214132762,0.0368396145610278,0.0369085653104925,0.0369768736616702,0.0370443254817987,0.0371113490364025,0.0371777301927194
6,A007,0.0239,0.0322,17.37,9977955,50.35,-0.0,0.0009392912205567,0.0018777516059957,0.002815374732334,0.0037521627408993,0.0046880942184154,0.0056232119914346,0.0065574732334047,0.0074908993576017,0.0084232334047109,0.0093543897216274,0.0102838758029978,0.0112111991434689,0.0121354175588865,0.0130557815845824,0.013970835117773,0.0148798929336188,0.0157828907922912,0.016680278372591,0.0175716916488222,0.0184559100642398,0.0193320342612419,0.0201993361884368,0.0210562740899357,0.0219012847965738,0.0227327623126338,0.0235501070663811,0.0243522483940042,0.0251374732334047,0.0259023554603854,0.0266430406852248,0.0273516059957173,0.0280235546038543,0.028654817987152,0.0292464668094218,0.0298038543897216,0.030330192719486,0.0308278372591006,0.0312970021413276,0.0317372591006424,0.0321468950749464,0.032523982869379,0.0328687366167023,0.0331847965738758,0.0334747323340471,0.0337436830835117,0.0339963597430406,0.0342364025695931,0.0344655246252676,0.0346852248394004,0.0348957173447537,0.0350978586723768,0.0352920770877944,0.035478800856531,0.035658244111349,0.0358306209850107,0.035995931477516,0.0361550321199143,0.0363085653104925,0.0364571734475374,0.0366012847965738,0.0367415417558886,0.0368781584582441,0.0370113490364025,0.037141113490364,0.0372678800856531,0.0373914346895074,0.0375117773019271,0.0376291220556745,0.0377430406852248,0.0378535331905781,0.0379601713062098,0.0380614561027837,0.0381543897216274,0.0380177730192719,0.0380970021413276,0.0381764453961456,0.0382569593147751,0.038337687366167,0.0384184154175588,0.0384985010706638,0.0385768736616702,0.0386516059957173,0.0387250535331905,0.0388012847965738,0.0388785867237687,0.0389558886509636,0.0390327623126338,0.0391094218415417,0.039185653104925,0.0392610278372591,0.0393361884368308,0.0394107066381156,0.0394847965738758,0.0395584582441113,0.0396316916488222,0.0397044967880085,0.0397766595289079,0.0398483940042826,0.0399194860813704,0.0399903640256959
7,A008,0.0079,0.0242,29.56,4901466,195.56,-0.0,0.0009771434689507,0.001953426124197,0.0029286937901498,0.0039007066381156,0.0048608993576017,0.0058026980728051,0.0067203854389721,0.0075996145610278,0.0084302997858672,0.0091858672376873,0.0098248608137044,0.0103575374732334,0.0108011777301927,0.0111488865096359,0.0114219057815845,0.0116565952890792,0.011865374732334,0.0120527194860813,0.0122211563169164,0.0123743254817987,0.0125162955032119,0.0126493147751606,0.0127749464668094,0.01289426124197,0.0130082012847965,0.0131174518201284,0.0132226124197002,0.0133242184154175,0.0134226980728051,0.0135183940042826,0.0136115845824411,0.0137024839400428,0.0137912633832976,0.0138780085653104,0.0139627623126338,0.0140455460385438,0.0141263169164882,0.0142050321199143,0.0142814132762312,0.0143550107066381,0.0144244539614561,0.0144846038543897,0.0143189721627409,0.0143843683083511,0.0144440042826552,0.0145028907922912,0.0145614775160599,0.0146198501070663,0.0146780085653104,0.014735931477516,0.0147935760171306,0.0148509421841541,0.0149080299785867,0.0149648394004282,0.0150213490364025,0.0150775588865096,0.0151333190578158,0.0151888222698072,0.0152439186295503,0.0152985867237687,0.0153529764453961,0.0154070877944325,0.0154608565310492,0.0155143468950749,0.015567408993576,0.0156201284796573,0.0156723768736616,0.01572426124197,0.0157758886509635,0.0158272805139186,0.0158784796573875,0.0159294218415417,0.0159800428265524,0.0160303854389721,0.0160804282655246,0.016130192719486,0.0161796573875803,0.0162288436830835,0.0162777516059957,0.0163263169164882,0.0163745610278372,0.0164224839400428,0.0164701070663811,0.0165174304068522,0.0165645182012847,0.0166113490364025,0.0166579014989293,0.0167041970021413,0.016750192719486,0.016795931477516,0.0168413276231263,0.0168863811563169,0.0169311349036402,0.0169756102783725,0.0170197216274089,0.0170635117773019,0.0171070877944325,0.0171504068522483,0.0171933832976445,0.0172361241970021
8,A010,0.0204,0.041,6.3,9844807,248.38,-0.0,0.0008279164882226,0.0016550985010706,0.0024815417558886,0.0033072376873661,0.0041322055674518,0.0049564239828693,0.005779914346895,0.0066025481798715,0.0074240042826552,0.0082440471092077,0.0090624411134903,0.0098787794432548,0.0106920128479657,0.0115010706638115,0.0123056102783725,0.0131058458244111,0.0139016488222698,0.0146926766595289,0.0154785653104925,0.0162585438972162,0.0170322698072805,0.0177989507494646,0.0185573875802997,0.0193067023554603,0.0200452034261242,0.0207710492505353,0.0214809421841541,0.0221710920770877,0.0228306209850107,0.0234528907922912,0.0240340471092077,0.0245768736616702,0.0250845824411134,0.0255578158458244,0.0259965738758029,0.0263974304068522,0.0267591006423982,0.0270854389721627,0.0273811563169164,0.0276522483940042,0.0279053533190578,0.0281447537473233,0.0283721627408993,0.0285886509635974,0.0287948608137044,0.0289914346895074,0.0291785867237687,0.0293571734475374,0.0295286937901498,0.0296942184154175,0.0298543897216274,0.0300100642398286,0.030161670235546,0.0303094218415417,0.0304539614561027,0.0305950749464668,0.0307334047109207,0.0308689507494646,0.0310021413276231,0.0311327623126338,0.0312610278372591,0.0313871520342612,0.0315111349036402,0.0316329764453961,0.0317528907922912,0.0318708779443254,0.0319869379014989,0.0321012847965738,0.0322139186295503,0.0323246252676659,0.0324334047109207,0.032540471092077,0.0326453961456102,0.0327483940042826,0.0328488222698072,0.0329464668094218,0.0330408993576017,0.033130835117773,0.0332143468950749,0.0332892933618843,0.0333605995717344,0.0334361884368308,0.0335158458244111,0.0335976445396145,0.0336809421841541,0.033765096359743,0.0338494646680942,0.0339338329764453,0.0340184154175588,0.03410278372591,0.0341867237687366,0.0342706638115631,0.034354175588865,0.0344372591006423,0.034519914346895,0.0346021413276231,0.0346837259100642,0.0347648822269807,0.0348451820128479,0.0349250535331905
9,A011,0.02,0.0937,188.3,6040357,152.12,-0.0,0.0010405845824411,0.00208026124197,0.0031190149892933,0.004156852248394,0.0051937473233404,0.0062297430406852,0.007264539614561,0.0082974304068522,0.0093259528907922,0.0103487152034261,0.0113638115631691,0.0123708779443254,0.0133691434689507,0.0143560171306209,0.0153306209850107,0.016291113490364,0.0172348822269807,0.0181584582441113,0.0190621841541755,0.0199483297644539,0.0208121413276231,0.0216524625267665,0.0224646680942184,0.023243897216274,0.0239826552462526,0.0246760171306209,0.0253237687366167,0.0259329764453961,0.0265081370449678,0.0270511777301927,0.0275633832976445,0.0280451820128479,0.0284950749464668,0.0289132762312633,0.0293021413276231,0.0296655246252676,0.0300087794432548,0.0303366167023554,0.0306528907922912,0.0309586723768736,0.0312550321199143,0.0315426124197002,0.0318222698072805,0.0320946466809421,0.0323595289079229,0.0326177730192719,0.0328695931477516,0.0331156316916488,0.0333565310492505,0.0335931477516059,0.0338256959314775,0.0340550321199143,0.0342809421841541,0.0345040685224839,0.0347244111349036,0.0349421841541755,0.0351576017130621,0.0353706638115631,0.0355817987152034,0.0357910064239828,0.0359982869379015,0.0362036402569593,0.0364074946466809,0.0366094218415417,0.036809635974304,0.0370083511777301,0.0372053533190578,0.0374008565310492,0.0375948608137045,0.0377871520342612,0.0379777301927194,0.0381668094218415,0.0383543897216274,0.0385400428265524,0.0387237687366167,0.0389057815845824,0.0390852248394004,0.0392620985010706,0.0394351177730192,0.0396021413276231,0.0397565310492505,0.039750749464668,0.0398940042826552,0.0400436830835117,0.0401976445396145,0.0403543897216274,0.0405128479657387,0.0406721627408993,0.0408325481798715,0.0409931477516059,0.0411541755888651,0.0413154175588865,0.0414766595289079,0.0416381156316916,0.041799357601713,0.0419601713062098,0.0421201284796573,0.0422785867237687,0.0424364025695931,0.0425935760171306
